,Temp,Field,Moment_emu,Moment_emu_g,,
205,234.4544144,0.010013375,0.006441377,2.800598738,,
206,235.9839325,0.010013375,0.006398802,2.782087853,,
207,237.4859924,0.010013375,0.00635656,2.76372193,,
208,239.0216904,0.010013375,0.006314716,2.745528551,,
209,240.5393143,0.010013375,0.00627316,2.727460732,,
210,242.0495605,0.010013375,0.0062316,2.709391154,,
211,243.6087952,0.010013375,0.006189766,2.691202491,,
212,245.1696091,0.010013375,0.006148914,2.67344071,,
213,246.6732101,0.010013375,0.006108273,2.655770829,,
214,248.1698761,0.010013375,0.006067986,2.638254757,,
215,249.717247,0.010013375,0.006027578,2.620686241,,
216,251.2397232,0.010013375,0.005987788,2.603385962,,
217,252.7741776,0.010013375,0.005948384,2.586254066,,
218,254.3578949,0.010013375,0.005909305,2.569262847,,
219,255.8186798,0.010013375,0.00587058,2.552425884,,
220,257.366394,0.010013375,0.005831365,2.535376199,,
221,258.8976746,0.010013375,0.005792642,2.518540105,,
222,260.3862305,0.010013375,0.005754468,2.501942542,,
223,261.8844757,0.010013375,0.005716561,2.48546144,,
224,263.407135,0.010013375,0.005678976,2.469119801,,
225,264.924881,0.010013375,0.005641651,2.452891797,,
226,266.4417419,0.010013375,0.005604592,2.4367792,,
227,267.9451599,0.010013375,0.005567822,2.420792044,,
228,269.5142059,0.010013375,0.005530983,2.404775049,,
229,271.0272522,0.010013375,0.00549464,2.388973939,,
230,272.544632,0.010013375,0.005458372,2.373205317,,
231,274.0546417,0.010013375,0.005422361,2.357548385,,
232,275.5914459,0.010013375,0.005386683,2.342036182,,
233,277.1523132,0.010013375,0.005350565,2.326332435,,
234,278.707077,0.010013375,0.005314941,2.310843996,,
235,280.2234039,0.010013375,0.005279904,2.295610363,,
236,281.7484131,0.010013375,0.005244914,2.280397384,,
237,283.2862701,0.010013375,0.005210092,2.265257491,,
238,284.8176727,0.010013375,0.005175741,2.250322279,,
239,286.3489075,0.010013375,0.005141561,2.235461335,,
240,287.8833923,0.010013375,0.005107634,2.220710589,,
241,289.4070587,0.010013375,0.005073847,2.206020539,,
242,290.9115295,0.010013375,0.005040354,2.191458051,,
243,292.4309845,0.010013375,0.005007108,2.177003439,,
244,293.9673004,0.010013375,0.00497399,2.162604267,,
245,295.4859619,0.010013375,0.004941087,2.148298518,,
246,297.0225067,0.010013375,0.004908686,2.134211471,,
247,298.4779205,0.010013375,0.004876866,2.120376716,,
248,299.306778,0.010013375,0.004857275,2.111858754,,
249,299.5157776,0.010013375,0.004851023,2.109140471,,
250,299.6535645,0.010013375,0.00484668,2.10725215,,
251,299.7458038,0.010013375,0.004843602,2.105913926,,
252,299.8081055,0.010013375,0.00484131,2.104917578,,
253,299.8560638,0.010013375,0.004839553,2.104153362,,
254,299.8912048,0.010013375,0.004838215,2.103571576,,
255,299.9168549,0.010013375,0.004837207,2.103133494,,
256,299.9355927,0.010013375,0.004836459,2.102808253,,
257,5.00123167,0.010013375,0.014527979,6.31651261,,
258,5.001391411,0.010013375,0.014527724,6.316401573,,
259,5.001994371,0.010013375,0.014528034,6.316536396,,
260,5.002155304,0.010013375,0.014527575,6.316337068,,
261,5.002320766,0.010013375,0.014527991,6.316517773,,
262,5.002333403,0.010013375,0.014528008,6.31652539,,
263,5.002368212,0.010013375,0.014527779,6.316425645,,
264,5.008881807,0.010013375,0.014528081,6.316556821,,
265,5.36449337,0.010013375,0.014526055,6.315676176,,
266,6.127453327,0.010013375,0.014520339,6.313190946,,
267,6.922245264,0.010013375,0.014514789,6.310777819,,
268,7.744717836,0.010013375,0.014509456,6.308459163,,
269,8.568385124,0.010013375,0.014503319,6.305791003,,
270,9.340826988,0.010013375,0.014497888,6.303429501,,
271,9.940276146,0.010013375,0.014494444,6.301932267,,
272,10.59145403,0.010013375,0.014490525,6.300228473,,
273,11.36862564,0.010013375,0.014485604,6.298088558,,
274,12.75630808,0.010013375,0.014477252,6.294457519,,
275,13.54625225,0.010013375,0.014473452,6.292805102,,
276,14.32319927,0.010013375,0.014469959,6.291286718,,
277,15.11405087,0.010013375,0.01446542,6.28931283,,
278,16.54684639,0.010013375,0.014459644,6.286801863,,
279,17.34211731,0.010013375,0.014456709,6.285525755,,
280,18.14099407,0.010013375,0.014454408,6.284525031,,
281,18.93536758,0.010013375,0.014452429,6.283664979,,
282,20.37785625,0.010013375,0.014449593,6.282431877,,
283,21.180439,0.010013375,0.014448476,6.281946049,,
284,21.97831917,0.010013375,0.014448437,6.281929139,,
285,22.77936459,0.010013375,0.014449166,6.282245959,,
286,23.58912563,0.010013375,0.014450862,6.282983276,,
287,25.04477692,0.010013375,0.014451793,6.283388241,,
288,25.84769917,0.010013375,0.014453623,6.284183913,,
289,26.6993494,0.010013375,0.014455826,6.285141912,,
290,27.4998312,0.010013375,0.014458151,6.286152459,,
291,29.05133533,0.010013375,0.014463135,6.288319696,,
292,29.8724165,0.010013375,0.014466683,6.28986214,,
293,30.73165607,0.010013375,0.014470778,6.291642608,,
294,31.54358673,0.010013375,0.014473387,6.2927769,,
295,33.07772827,0.010013375,0.014477809,6.294699559,,
296,33.89841652,0.010013375,0.014480626,6.295924376,,
297,34.73316574,0.010013375,0.014483918,6.297355596,,
298,35.54676056,0.010013375,0.014485581,6.298078813,,
299,37.11240196,0.010013375,0.014487759,6.299025513,,
300,37.93334198,0.010013375,0.014489063,6.299592427,,
301,38.74382591,0.010013375,0.01448988,6.299947803,,
302,39.57858276,0.010013375,0.014488942,6.299540095,,
303,41.12165451,0.010013375,0.014482854,6.296892894,,
304,41.93422318,0.010013375,0.014479072,6.295248572,,
305,42.74854279,0.010013375,0.01447434,6.293191423,,
306,44.31276321,0.010013375,0.014459747,6.286846499,,
307,45.12826538,0.010013375,0.014450376,6.282772214,,
308,45.95815086,0.010013375,0.014439892,6.278213953,,
309,47.50038338,0.010013375,0.014413953,6.266936299,,
310,48.30786705,0.010013375,0.014398948,6.260411964,,
311,49.14216614,0.010013375,0.014381757,6.252937942,,
312,50.71599388,0.010013375,0.014342596,6.235911459,,
313,51.5545845,0.010013375,0.014320772,6.226422726,,
314,52.36909294,0.010013375,0.014298149,6.216586627,,
315,53.90839767,0.010013375,0.014246966,6.194333134,,
316,54.71940231,0.010013375,0.014219053,6.182196741,,
317,55.56503105,0.010013375,0.014190566,6.169811393,,
318,57.11113167,0.010013375,0.014128703,6.142914277,,
319,57.95752335,0.010013375,0.014096663,6.128984115,,
320,58.79397964,0.010013375,0.014066046,6.115672288,,
321,60.36017418,0.010013375,0.01399199,6.083474012,,
322,61.18379784,0.010013375,0.013956237,6.067929093,,
323,61.99488449,0.010013375,0.0139191,6.05178251,,
324,63.54897308,0.010013375,0.013843526,6.018924263,,
325,64.4155941,0.010013375,0.01380191,6.000830476,,
326,65.23787689,0.010013375,0.013764435,5.984536914,,
327,66.78959656,0.010013375,0.013685509,5.9502215,,
328,67.58307648,0.010013375,0.013644295,5.932302075,,
